Date,Newspaper,Headline,News
28-Sep-18,City AM,Not hitting the right note: Shares dip as DCC announces Jam Group deal,"IRELAND-BASED DCC plans to buy Canada-based musical instruments distributor Jam Group for an enterprise value of $170m (£129.4m), the company said yesterday, as it continues to diversify its business through acquisitions. Shares closed down more than four per cent. DCC also said it planned to place up to 8.9m new shares with institutional investors and use the proceeds to drive its acquisition strategy. DCC said its first-half profit would be in line with its expectations, helped by acquisitions. DCC said its group operating profit would be well ahead of the prior year, driven by acquisitions completed in the prior year, and that trading across each division was also in line with expectations. ""The acquisition of Jam significantly strengthens DCC Technology's position in the North American market,"" chief executive Donal Murphy said in a statement. In February, DCC bought Elite One Source Nutritional Services marking its entry into the US healthcare market. DCC made its first acquisition outside its core markets in April 2017 when it agreed to buy Shell's liquefied petroleum gas unit in Hong Kong and Macau."
27-Sep-18,City AM,TP Icap unveils Square Mile headquarters,"THE WORLD'S largest interdealer broker yesterday revealed plans to move into a major new City headquarters in Broadgate, in an effort to house all of its brokers under one roof following the firm's merger in 2016. TP Icap will take up four floors of 135 Bishopsgate in a leasing that will see the FTSE 250 firm cover 123,000 square feet of office space. The move comes as the brokerage company, which merged the two firms of Tullett Prebon and Icap in 2016, looks to amalgamate its two current City offices around Liverpool Street. In recent months TP Icap has made similar such decisions across the world, having already signed commercial leases to move staff into new and bigger offices in cities such as Singapore, Sydney and New York. Yesterday's announcement is also a major coup for British Land, the property firm developing Broadgate, which has been making efforts to lure in major names to its mixed-use site since its makeover in the last decade. It is thought the move will happen in the spring of 2020 following a radical refurbishment of the building. Nicolas Breteau, boss of TP Icap, said: ""This is great news for our London-based employees, who will benefit from the excellent facilities available at 135 Bishopsgate. Our new headquarters reflect the ambition we have for our business and will provide an environment in which our competing brands will continue to thrive. It is also an important landmark in the group's integration as we reduce our global footprint of offices."" David Lockyer, head of Broadgate for British Land, said: ""The quality of Broadgate's offering and the service we provide here has been a key driver in TP Icap's decision to remain at the campus."""
26-Sep-18,City AM,Comcastacquires 30 per cent of Sky,"US MEDIA titan Comcast yesterday confirmed it had bought 30 per cent of shares in British broadcaster Sky so far after winning a dramatic auction for the company against 21st Century Fox on Saturday. Comcast told the market it had purchased 515,885,170 shares at its improved offer price of 1,728p per share. Sky investors have until 11 October to accept Comcast's bid, which it tabled when it beat Rupert Murdoch's Fox at the highly unusual auction last weekend. Sky's Independent Committee has already declared Comcast's offer as ""materially superior"" and strongly advised its investors to accept it immediately. Fox improved its 1,400p per share offer to 1,567p, but it was not enough to beat Comcast's bid, which values Sky at more than £30bn. It spoiled the party for Murdoch and Fox, which was looking to acquire the 61 per cent stake of Sky it does not already own. It's still unclear what Disney, which will soon own Fox's media assets including its Sky stake, will do with its holdings in the media firm. Sky shares jumped on Monday after news of Comcast's win, and are now trading around 1,726p, just below its offer price."
25-Sep-18,City AM,Comcast shares tank as news of £30bn Sky deal hits Wall Street,"MEDIA giant Comcast's share price yesterday suffered its worst day on the stock market in nine years, falling as much as eight per cent as investors feared the firm had overpaid in its acquisition of pay-TV giant Sky. In a conclusion to the heated corporate bidding war that lasted almost two years, the US cable television provider outbid rival 21st Century Fox in an auction over the weekend to close with a total offer of £30.6bn for control of Sky. The final offer came in at 1,728p per share from Comcast after three rounds of bidding in the UK's largest ever auction process by deal size, beating out Fox's offer of 1,567p. The deal makes Comcast the world's largest paid-for TV operator with roughly 52m customers. Sky shares, on the other hand, flew up almost nine per cent in trading yesterday. The firm's independent board called the auction ""an excellent outcome"", and urged shareholders to accept the deal immediately. CMC Markets chief analyst David Madden called the deal ""a good fit"", with the new group to be a ""truly global player"" in the years to come."
25-Sep-18,City AM,Barrick Gold in $18bn merger with Randgold,"TWO OF the world's largest gold producers are set to merge as Canada's Barrick Gold said it has agreed to buy London-listed Randgold Resources in a shock $18bn (£13.7bn) deal. In plans to create what Barrick Gold and Randgold Resources hailed as an ""industry-leading gold company"", the companies will be hoping to cement their footprints in most of North America and Africa after a challenging year for both firms. It would be the world's biggest gold miner with a value of about $18bn. Barrick, which has suffered a dip in outfall, will own around two-thirds of the new company while Randgold, which has been hit by a strike at one of its biggest mines, will own around a third. Mark Bristow, chief executive of Randgold, will become president and chief executive of the New Barrick Group. In a joint statement the companies yesterday said: ""The boards of Barrick and Randgold believe that the merger will create an industry-leading gold company with the greatest concentration of tier one gold assets in the industry, the lowest total cash cost position among senior gold peers."" A number of gold producers have struggled in the last year, with the growing strength of the US dollar making the commodity much more expensive for foreign buyers. Randgold shares on the London Stock Exchange will be cancelled and New Barrick Group will be listed in Toronto and New York, operating under the branding of the Barrick Group. Barclays and CIBC advised on the deal for Randgold and Morgan Stanley and M. Klein and Co. acted as advisers for Barrick."
24-Sep-18,Tech Crunch,Uber and Grab hit with $9.5M in fines over ‘anti-competitive’ merger,Uber and Grab have been hit with combined fines of $9.5 million after their merger deal was found to have violated Singapore’s anti-competition laws.
20-Sep-18,Tech Crunch,"Adobe gets its company, snaring Marketo for $4.75 billion","A week ago rumors were flying that Adobe would be buying Marketo , and lo and behold it announced today that it was acquiring the marketing automation company for $4.75 billion."
20-Sep-18,Tech Crunch,MariaDB acquires Clusterix,"MariaDB , the company behind the eponymous MySQL drop-in replacement database, today announced that it has acquired Clusterix , which itself is a MySQL drop-in replacement database, but with a focus on scalability. MariaDB will integrate …"
20-Sep-18,City AM,Sainsbury's and Asda merger to be investigated,"A PROPOSED merger of retail giants Sainsbury's and Asda will receive further scrutiny after the Competition and Markets Authority (CMA) said concerns over the deal merited deeper investigation. The watchdog warned that the two supermarkets currently ""overlap in hundreds of local areas"", meaning shoppers could face higher prices or worse service if the two were to merge, after its phase one investigation found the tie-up ""raises sufficient concerns"" for the probe to continue. ""These concerns will be considered further in the phase two investigation, along with other issues raised so far with the CMA - including those relating to fuel, general merchandise (such as clothing) and increased buyer power over suppliers,"" the CMA said. Sainsbury's wants to acquire its competitor in a £7.3bn deal that would narrow the field of major supermarkets in the UK. Sainsbury's and Asda each hold just over a 15 per cent share of the UK supermarket industry, according to Kantar Worldpanel figures released this month. Combined, the two British supermarkets would command almost £1 in every £3 spent on groceries. Mike Coupe, group chief executive of J Sainsbury, and Roger Burnley, president and chief executive of Asda, said: ""We expected the CMA would want to undertake an in-depth review and look forward to engaging with the CMA and panel on this next phase of the process."" The CMA's second phase will see its independent panel members gather evidence through customer surveys, discussions with rival retailers, suppliers and industry bodies. The watchdog has said that it would reject any deal that hurt customers. At the time of its launch, Andrea Coscelli, chief executive of the CMA, said: ""About £190bn is spent each year on food and groceries in the UK so it's vital to find out if the millions of people who shop in supermarkets could lose out as a result of this deal."" The CMA has a statutory deadline of 5 March to reach a decision on whether to permit the merger."
19-Sep-18,City AM,Marsh to acquire City insurer JLT in £4.3bn deal,"NEW YORK-HEADQUARTERED Marsh & McLennan agreed to buy UK insurance broker Jardine Lloyd Thompson (JLT) yesterday for £4.3bn. Shares in FTSE 250-listed JLT soared by more than 30 per cent following the announcement. Marsh has offered 1,915p in cash for each JLT share, valuing the business at £4.9bn. The offer represents a premium of 33.7 per cent to the closing price of 1,432p per share on 17 September, the last business day before the deal was announced. JLT shares are currently trading at 1,872p. The boards of both companies have recommended that shareholders accept the offer. Panmure Gordon analyst Barrie Cornes said: ""We view the offer as fabulous for JLT shareholders. Its recent moves into the US has potentially been the trigger for Marsh to make the offer but irrespective of the reason this is a great price."" President and chief executive of Marsh, Dan Glaser, said the deal ""creates a compelling value proposition for our clients, our colleagues and our shareholders"". Marsh said it expects to make savings of $250m (£190m) over three years as a result of the deal. It said this would partly come through job cuts. Marsh said it expects to reduce headcount at the combined group by between two and five per cent. Marsh employs 65,000 people in more than 130 counties while JLT employs 10,000 people worldwide, including 4,000 in the UK. Potential job losses could number up to 3,500. Goldman Sachs is financial adviser to Marsh & McLennan, with Mark Sorrell as UK lead, with Slaughter and May providing legal advice. Financial advisers to JLT are JP Morgan Cazenove, with Conor Hillery leading, and Simon Robertson Associates, with Clifford Chance providing legal advice."
